specObjID,class_label,u,g,r,i,z,w1,w2,w3,w4,u_g,g_r,color
350242859892369408,GALAXY,19.39712,18.02546,17.47235,17.16102,16.99986,14.958,14.724,11.186,9.288,1.371660000000002,0.5531100000000002,red
4514909843489052672,QSO,21.73274,21.00251,20.82659,20.55616,20.17203,16.135,15.468,12.586,9.09,0.7302299999999988,0.1759200000000014,green
4331372769503893504,QSO,19.7312,18.28213,18.17361,17.87039,17.49596,14.003,13.205,10.062,7.986,1.4490700000000025,0.10851999999999862,green
8387988778493696000,STAR,20.63664,18.4946,17.60323,17.28379,17.0963,15.568,15.692,12.629,9.132,2.1420400000000015,0.8913699999999984,blue
2316002285798320128,STAR,16.52097,15.37435,14.99114,14.85412,14.83921,13.618,13.676,12.139,9.009,1.1466199999999986,0.38321000000000005,blue
3259548476651890688,STAR,17.24607,15.71439,15.15721,14.9471,14.83999,13.382,13.438,12.657,8.836,1.5316799999999997,0.5571800000000007,blue
4316814143187605504,QSO,21.40604,21.04535,20.74969,20.70192,20.31467,16.174,15.235,12.264,9.22,0.36069000000000173,0.29565999999999804,green
8394817570419791872,STAR,17.68516,16.30195,15.73781,15.49072,15.35964,13.805,13.844,12.322,9.101,1.3832099999999983,0.5641400000000019,blue
4330424711223990272,GALAXY,24.90672,22.8358,21.08362,19.84251,19.24542,15.172,15.288,12.238,8.858,2.070920000000001,1.7521799999999992,red
1405211669537253376,STAR,24.65462,21.54822,19.50371,18.44355,17.71024,14.727,14.826,12.317,8.935,3.1064000000000007,2.044509999999999,blue
4331443962881792000,GALAXY,22.6369,21.68059,20.20491,19.2834,18.80714,14.286,13.111,10.043,7.434,0.956310000000002,1.475679999999997,red
1721624976655673344,GALAXY,21.24216,20.18587,19.36745,18.83952,18.56272,15.791,15.526,10.99,8.462,1.056289999999997,0.8184199999999997,red
333298291548645376,GALAXY,20.37647,18.78545,17.83942,17.40848,17.09373,14.596,14.154,11.135,8.86,1.5910200000000003,0.9460300000000004,red
468541792275425280,GALAXY,21.16008,18.48807,17.09154,16.53776,16.13377,13.702,13.473,12.478,9.018,2.67201,1.396530000000002,red
4508175609160292352,GALAXY,24.78805,21.60934,20.07628,19.27146,18.91081,15.802,16.135,12.487,9.245,3.178709999999999,1.533059999999999,red
3275300631430064128,STAR,18.8492,17.93747,17.64664,17.54764,17.52766,16.556,16.635,12.984,9.185,0.9117299999999986,0.2908299999999997,blue
4531784598196344832,STAR,25.67689,21.72633,20.72066,19.44213,18.67148,16.903,16.895,12.483,9.456,3.9505599999999994,1.005670000000002,blue
1399597537211475968,GALAXY,23.04094,20.48079,19.1805,18.66952,18.26074,15.448,15.249,12.571,9.098,2.56015,1.3002900000000004,red
329931856873023488,GALAXY,23.25305,20.60088,18.74538,18.13402,17.69356,14.99,14.746,12.693,9.167,2.6521700000000017,1.8554999999999993,red
2332937782047041536,STAR,22.9417,19.82461,18.49868,17.9444,17.61167,15.503,16.01,12.075,9.042,3.117090000000001,1.3259299999999996,blue
337868960697444352,QSO,18.91656,18.52353,18.37243,18.45027,18.35817,14.676,13.55,11.293,8.505,0.39302999999999955,0.15109999999999957,green
1417665536929589248,STAR,19.5185,17.76141,17.28286,17.06664,16.90568,15.748,16.008,12.505,8.688,1.757089999999998,0.47855000000000203,blue
389563045438842880,QSO,22.1269,18.61907,17.28514,17.25949,17.24347,13.694,13.286,10.467,7.653,3.5078299999999984,1.3339300000000023,green
897369201755318272,QSO,20.00746,19.91655,19.64657,19.6358,19.55954,16.525,15.48,12.358,9.128,0.09090999999999738,0.26998000000000033,green
8394800527989561344,STAR,19.96317,17.41812,16.41771,15.99785,15.76099,13.686,13.768,12.037,9.115,2.5450500000000034,1.0004099999999987,blue
4514978837843695616,GALAXY,24.6102,22.73276,20.7691,19.60039,19.01475,15.621,15.47,12.722,8.647,1.87744,1.9636599999999973,red
8388152330848327680,STAR,20.4744,18.08711,17.02974,16.5545,16.20974,14.276,14.585,12.296,9.033,2.38729,1.0573699999999988,blue
4240391474548856832,QSO,21.74942,21.29238,21.04751,20.98953,20.49603,16.655,15.807,12.884,8.987,0.4570399999999992,0.24487000000000236,green
4546588697848731648,GALAXY,23.53089,21.98262,20.48392,19.62669,19.14925,15.581,15.501,12.99,9.025,1.5482699999999987,1.4986999999999995,red
409917759598651392,QSO,19.22342,19.01674,18.70262,18.65875,18.62971,14.795,13.41,10.759,8.252,0.2066800000000022,0.31411999999999907,green
2880125698440194048,STAR,17.36013,16.2011,15.83579,15.70758,15.68375,14.442,14.563,11.78,8.735,1.1590300000000013,0.3653100000000009,blue
5342652442541840384,QSO,20.48047,19.06259,18.78475,18.65149,18.68983,16.077,14.764,11.228,8.443,1.4178800000000003,0.2778400000000012,green
336785387424868352,STAR,23.96999,21.98192,20.53271,19.24902,18.4692,16.533,16.949,12.983,9.152,1.9880700000000004,1.4492099999999972,blue
1034849389362833408,STAR,19.02089,18.1265,17.90162,17.81038,17.84084,16.697,16.489,13.011,9.379,0.8943900000000014,0.22487999999999886,blue
3259552874698401792,GALAXY,19.78466,18.26343,17.75294,17.69427,17.62152,17.123,16.699,12.225,9.077,1.5212299999999992,0.5104900000000008,red
329920586878838784,GALAXY,19.71694,18.24978,17.45595,17.01162,16.71544,14.29,14.03,10.355,8.453,1.4671599999999998,0.7938299999999998,red
